Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,LapNumber,AirTemp,TrackTemp,Humidity,WindSpeed,Year,LapTimeSeconds,S1Seconds,S2Seconds,S3Seconds
VER,0 days 00:01:06.097000,0 days 00:00:16.739000,0 days 00:00:29.389000,0 days 00:00:19.969000,SOFT,2.0,314.0,243.0,284.0,319.0,True,2.0,19.0010101010101,35.94949494949495,34.43434343434343,1.5080808080808081,2022,66.097,16.739,29.389,19.969
VER,0 days 00:01:05.852000,0 days 00:00:16.543000,0 days 00:00:29.356000,0 days 00:00:19.953000,SOFT,5.0,316.0,242.0,283.0,316.0,True,5.0,19.0010101010101,35.94949494949495,34.43434343434343,1.5080808080808081,2022,65.852,16.543,29.356,19.953
VER,0 days 00:01:05.568000,0 days 00:00:16.582000,0 days 00:00:29.115000,0 days 00:00:19.871000,SOFT,2.0,315.0,245.0,282.0,317.0,True,8.0,19.0010101010101,35.94949494949495,34.43434343434343,1.5080808080808081,2022,65.568,16.582,29.115,19.871
VER,0 days 00:01:05.374000,0 days 00:00:16.595000,0 days 00:00:29.039000,0 days 00:00:19.740000,SOFT,2.0,316.0,243.0,283.0,316.0,True,11.0,19.0010101010101,35.94949494949495,34.43434343434343,1.5080808080808081,2022,65.374,16.595,29.039,19.74
VER,0 days 00:01:05.092000,0 days 00:00:16.421000,0 days 00:00:28.903000,0 days 00:00:19.768000,SOFT,2.0,316.0,248.0,284.0,319.0,True,14.0,19.0010101010101,35.94949494949495,34.43434343434343,1.5080808080808081,2022,65.092,16.421,28.903,19.768
VER,0 days 00:01:04.984000,0 days 00:00:16.478000,0 days 00:00:28.959000,0 days 00:00:19.547000,SOFT,2.0,316.0,247.0,285.0,316.0,True,17.0,19.0010101010101,35.94949494949495,34.43434343434343,1.5080808080808081,2022,64.984,16.478,28.959,19.547
VER,0 days 00:01:05.190000,0 days 00:00:16.423000,0 days 00:00:29.150000,0 days 00:00:19.617000,SOFT,2.0,324.0,245.0,286.0,317.0,True,2.0,26.70000000000001,39.60941176470588,41.576470588235296,0.8411764705882353,2023,65.19,16.423,29.15,19.617
VER,0 days 00:01:05.116000,0 days 00:00:16.440000,0 days 00:00:29.070000,0 days 00:00:19.606000,SOFT,6.0,323.0,247.0,288.0,317.0,True,6.0,26.70000000000001,39.60941176470588,41.576470588235296,0.8411764705882353,2023,65.116,16.44,29.07,19.606
VER,0 days 00:01:05.339000,0 days 00:00:16.380000,0 days 00:00:29.170000,0 days 00:00:19.789000,SOFT,11.0,327.0,247.0,288.0,320.0,False,11.0,26.70000000000001,39.60941176470588,41.576470588235296,0.8411764705882353,2023,65.339,16.38,29.17,19.789
VER,0 days 00:01:04.955000,0 days 00:00:16.497000,0 days 00:00:28.933000,0 days 00:00:19.525000,SOFT,2.0,322.0,247.0,288.0,317.0,True,14.0,26.70000000000001,39.60941176470588,41.576470588235296,0.8411764705882353,2023,64.955,16.497,28.933,19.525
