Driver,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,LapNumber,AirTemp,TrackTemp,Humidity,WindSpeed,Round,SessionType,CircuitType,LapTimeSeconds,S1Seconds,S2Seconds,S3Seconds,TeamTier,CircuitName,LapLengthKm,NumCorners,NumDRS,AvgSpeedKmh,MaxSpeedKmh,DownforceLevel,LapTimeSeconds_delta,LapTimeSeconds_pct,S1Seconds_delta,S1Seconds_pct,S2Seconds_delta,S2Seconds_pct,S3Seconds_delta,S3Seconds_pct,DriverFormDelta,CircuitTypeCode,SessionTypeCode,Driver_ANT,Driver_BEA,Driver_BOR,Driver_COL,Driver_GAS,Driver_HAD,Driver_HAM,Driver_HUL,Driver_LAW,Driver_LEC,Driver_LIN,Driver_NOR,Driver_PIA,Driver_RUS,Driver_SAI,Driver_VER,Team_Alpine,Team_Audi,Team_Ferrari,Team_Haas F1 Team,Team_McLaren,Team_Mercedes,Team_Racing Bulls,Team_Red Bull Racing,Team_Williams
ANT,Mercedes,0 days 00:01:33.455000,0 days 00:00:24.508000,0 days 00:00:28.154000,0 days 00:00:40.793000,MEDIUM,2.0,279.0,269.0,254.0,314.0,True,2.0,16.401666666666667,28.17166666666667,25.80666666666667,1.7399999999999998,2,SQ,permanent,93.455,24.508,28.154,40.793,3.0,China,5.451,16,2,210,327,3,0.19499999999999318,0.20909285867466562,0.05699999999999861,0.23311929982413235,-0.027999999999998693,-0.09935419771484881,0.14000000000000057,0.3443780286817715,-0.43950000000000694,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:32.570000,0 days 00:00:24.308000,0 days 00:00:27.903000,0 days 00:00:40.359000,MEDIUM,2.0,276.0,261.0,257.0,318.0,True,5.0,16.401666666666667,28.17166666666667,25.80666666666667,1.7399999999999998,2,SQ,permanent,92.57,24.308,27.903,40.359,3.0,China,5.451,16,2,210,327,3,-0.6900000000000119,-0.739867038387317,-0.14300000000000068,-0.5848431556991561,-0.2789999999999999,-0.9899936129444323,-0.29399999999999693,-0.7231938602317096,-0.46037500000000736,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:32.291000,0 days 00:00:24.204000,0 days 00:00:27.806000,0 days 00:00:40.281000,MEDIUM,4.0,274.0,259.0,258.0,317.0,True,7.0,16.401666666666667,28.17166666666667,25.80666666666667,1.7399999999999998,2,SQ,permanent,92.291,24.204,27.806,40.281,3.0,China,5.451,16,2,210,327,3,-0.9690000000000083,-1.0390306669526144,-0.2469999999999999,-1.0101836325712645,-0.37599999999999767,-1.3341849407423096,-0.3719999999999999,-0.9150616190687032,-0.49950000000000744,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:31.880000,0 days 00:00:23.966000,0 days 00:00:27.558000,0 days 00:00:40.356000,SOFT,2.0,272.0,251.0,259.0,313.0,True,10.0,16.401666666666667,28.17166666666667,25.80666666666667,1.7399999999999998,2,SQ,permanent,91.88,23.966,27.558,40.356,3.0,China,5.451,16,2,210,327,3,-1.3800000000000097,-1.4797340767746188,-0.48499999999999943,-1.9835589546439794,-0.6239999999999988,-2.214179263359587,-0.29699999999999704,-0.7305733894177479,-0.5623928571428648,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:31.809000,0 days 00:00:23.998000,0 days 00:00:27.598000,0 days 00:00:40.213000,SOFT,4.0,271.0,260.0,257.0,313.0,True,12.0,16.401666666666667,28.17166666666667,25.80666666666667,1.7399999999999998,2,SQ,permanent,91.809,23.998,27.598,40.213,3.0,China,5.451,16,2,210,327,3,-1.4510000000000076,-1.5558653227536003,-0.4529999999999994,-1.8526849617602525,-0.5839999999999996,-2.072244695195514,-0.4399999999999977,-1.0823309472855576,-0.6216333333333409,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:30.035000,0 days 00:00:32.388000,0 days 00:00:39.930000,0 days 00:00:17.717000,SOFT,2.0,280.0,326.0,265.0,280.0,True,2.0,16.538666666666668,29.666666666666668,51.586666666666666,1.7386666666666668,3,Q,permanent,90.035,32.388,39.93,17.717,3.0,Japan,5.807,18,2,228,330,3,-0.058000000000006935,-0.06437792059317254,0.036999999999999034,0.11437049859354899,-0.10300000000000153,-0.2572877376164703,0.027999999999998693,0.15829046299959687,-0.5864062500000076,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:29.774000,0 days 00:00:32.351000,0 days 00:00:39.788000,0 days 00:00:17.635000,SOFT,5.0,279.0,325.0,263.0,281.0,True,5.0,16.538666666666668,29.666666666666668,51.586666666666666,1.7386666666666668,3,Q,permanent,89.774,32.351,39.788,17.635,3.0,Japan,5.807,18,2,228,330,3,-0.3190000000000026,-0.35407856326240955,0.0,0.0,-0.24500000000000455,-0.611995104039179,-0.053999999999998494,-0.3052744643563711,-0.5706764705882426,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:29.048000,0 days 00:00:32.178000,0 days 00:00:39.398000,0 days 00:00:17.472000,SOFT,2.0,280.0,328.0,265.0,282.0,True,8.0,16.538666666666668,29.666666666666668,51.586666666666666,1.7386666666666668,3,Q,permanent,89.048,32.178,39.398,17.472,3.0,Japan,5.807,18,2,228,330,3,-1.0450000000000017,-1.159912534825127,-0.17300000000000182,-0.5347593582887756,-0.634999999999998,-1.5861913921015114,-0.21699999999999875,-1.226751088246926,-0.5970277777777847,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:28.778000,0 days 00:00:31.855000,0 days 00:00:39.439000,0 days 00:00:17.484000,SOFT,2.0,280.0,328.0,267.0,282.0,True,11.0,16.538666666666668,29.666666666666668,51.586666666666666,1.7386666666666668,3,Q,permanent,88.778,31.855,39.439,17.484,3.0,Japan,5.807,18,2,228,330,3,-1.3149999999999977,-1.4596028548277864,-0.49599999999999866,-1.5331829000649089,-0.5940000000000012,-1.4837758848949647,-0.2049999999999983,-1.1589123183899501,-0.6348157894736907,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:28.839000,0 days 00:00:31.827000,0 days 00:00:39.548000,0 days 00:00:17.464000,SOFT,2.0,280.0,328.0,265.0,282.0,False,14.0,16.538666666666668,29.666666666666668,51.586666666666666,1.7386666666666668,3,Q,permanent,88.839,31.827,39.548,17.464,3.0,Japan,5.807,18,2,228,330,3,-1.2540000000000049,-1.3918950417901554,-0.5239999999999974,-1.6197335476492145,-0.48499999999999943,-1.2115005120775346,-0.22500000000000142,-1.2719769348182566,-0.6657750000000064,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:29.158000,0 days 00:00:30.138000,0 days 00:00:33.991000,0 days 00:00:25.029000,SOFT,5.0,218.0,193.0,270.0,324.0,True,2.0,33.92222222222222,51.882716049382715,30.31975308641976,3.764197530864198,4,Q,permanent,89.158,30.138,33.991,25.029,3.0,Miami,5.412,19,3,215,320,3,0.22350000000000136,0.25130854730166735,-0.12899999999999778,-0.4262067598374394,0.2259999999999991,0.6693321486746604,0.13449999999999918,0.5402799815220196,-0.6234285714285774,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:28.653000,0 days 00:00:29.817000,0 days 00:00:34.062000,0 days 00:00:24.774000,SOFT,2.0,219.0,192.0,268.0,324.0,True,5.0,33.92222222222222,51.882716049382715,30.31975308641976,3.764197530864198,4,Q,permanent,88.653,29.817,34.062,24.774,3.0,Miami,5.412,19,3,215,320,3,-0.2814999999999941,-0.3165250830667447,-0.4499999999999993,-1.4867677668748118,0.29699999999999704,0.8796090626388184,-0.12049999999999983,-0.4840426600253061,-0.6078863636363692,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:28.352000,0 days 00:00:29.969000,0 days 00:00:33.555000,0 days 00:00:24.828000,SOFT,2.0,223.0,193.0,267.0,327.0,True,8.0,33.92222222222222,51.882716049382715,30.31975308641976,3.764197530864198,4,Q,permanent,88.352,29.969,33.555,24.828,3.0,Miami,5.412,19,3,215,320,3,-0.582499999999996,-0.6549764152269322,-0.29799999999999827,-0.9845706545082045,-0.21000000000000085,-0.6219458018658399,-0.06650000000000134,-0.26712727710940704,-0.6067826086956573,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:28.289000,0 days 00:00:29.879000,0 days 00:00:33.658000,0 days 00:00:24.752000,SOFT,2.0,220.0,194.0,267.0,325.0,True,11.0,33.92222222222222,51.882716049382715,30.31975308641976,3.764197530864198,4,Q,permanent,88.289,29.879,33.658,24.752,3.0,Miami,5.412,19,3,215,320,3,-0.6454999999999984,-0.725815066144183,-0.3879999999999981,-1.2819242078831667,-0.10699999999999932,-0.3168961942840199,-0.14250000000000185,-0.5724155938058682,-0.6083958333333381,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:27.798000,0 days 00:00:29.743000,0 days 00:00:33.431000,0 days 00:00:24.624000,SOFT,2.0,222.0,193.0,267.0,325.0,True,14.0,33.92222222222222,51.882716049382715,30.31975308641976,3.764197530864198,4,Q,permanent,87.798,29.743,33.431,24.624,3.0,Miami,5.412,19,3,215,320,3,-1.136499999999998,-1.2779067740865446,-0.5240000000000009,-1.7312584663164532,-0.3340000000000032,-0.9891899896342461,-0.27050000000000196,-1.0865853903472733,-0.6295200000000045,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
